label,text
1,自从爱奇艺歧视河南人之后，我就只充腾讯视频了。
1,"说歧视的？,咱们中国人被歧视的少了？,就那会买了双鞋，还没穿,结果出了事。"
1,原来是这样，我看国内公众号报道也差点以为是黑人学生想趁机给自己加分。如果只是希望老师给个时间延期考试的话，我觉得可以理解。毕竟为了被压迫的阶级和民族争取更多的权益，也没有什么不对。
1,能不能不黑东北人？
1,不要贬低中国人好吗，不休法定假违反劳动法，一告一个准，
1,拿谭谈交通里的升斗小民跟美利坚犯罪率奇高的黑人比？
1,我，反对种族歧视。但是我歧视黑人
1,而且奴隶社会不早就没了吗？美国黑人就是一大进步。难道你还觉得重男轻女是对的？我真是无语了。
1,？虽然我不是东北人，但我真的忍不住想问一句，这和东北有啥关系啊？说着这人这事，突然就讲到地名，我知道你说这个没有地域黑和隐含“东北人就是如此”这样的意思，也许只是随口一提，不过我觉得本身讨论的时候哪怕只是说到地名，这就已经带有一种倾向了
1,那种垃圾哪来的脸能代表河南人民？
1,虽然不是天津人，我支持答主。我还见过抹千岛酱的，放豆皮的，土豆丝的，看着就恶心。
1,宁这是在歧视黑人？
1,我觉得广东人不歧视外省人啊，反倒歧视香港人。。。。。反正我身边的人是这样，。。。。最多是就是歧视外省不文明的人
1,所以，印度人抵制最后，还是伤害到自己人的就业。
1,马丁路德金遇到了黑人被歧视，说道：我有一个dream，然后带领大兄弟…杨安泽遇到了亚裔被看不起，
1,北方男人拆你家了？你对北方男人这么大误解？我家小区门口卖包子的南方人天天把媳妇拉大马路上打，那这样我是不是要觉得男方男人会家暴不能嫁？
1,我问过我表姐的爷爷，他也参加过朝鲜战争，他也说山东人能打仗，主要是够狠，脾气大
1,离了吗？太渣了，出轨男都是垃圾
1,干嘛要黑东北人
1,她妈是个很无能的女人。都被人欺负上门了还舔着脸！醉了
1,那为什么全国很多人都觉得河南人偷井盖？怎么没听过别人说我们北京人偷井盖？
1,燕赵自古多慷慨悲歌之士，河北人和山东人可谓惺惺相惜，普通民众的性格也十分相近，但是这个作者这些都不看，非挑出一个让山东人和河北人都不待见的人在这里恶心人，我就怒发冲冠了[语塞]
1,你妈妈什么都好，就是看男人眼光太差，
1,台湾那种随机杀人都不死刑，还有人给开脱的地方，就算了吧。还有光天化日当街砍掉小女孩的头，也没死刑，还有警察抓贩毒的，毒贩逃跑被警察开枪打死，最后警察赔人家钱还被免去公职
1,河南没有偷东西的黑点，偷东西的人哪里都有，至今也没有一个数据能证明河南人偷的比其他地方的人更多
1,这打人的是个黑人？打得好
1,我不后悔生在河南，可是经历过高考感觉高考真的对河南考生好不公平……而且，还有很多地域黑的人，他们没有了解过河南，就觉得河南人粗俗素质低。有点愤懑和无奈……
1,"一种是用似是而非的话术配合女拳的特权要求，比如""xxx的还算男人？""，""赚钱养家，貌美如花""。本质上是""高情商舔狗""。一种是用早就被批判烂的封建话术搞极端，""女子无才便是德""，"
1,身为一个河南人，看见你这个回答我真是恶心
1,怎么她的罪行你就说是网友脑补，没有实锤，那么张韶涵的黑白狗实锤呢，怎么证明就是骂黑人和范？不也是你在猜测和脑补？得了，说起来喜欢谁就帮谁说话，在脑补这一块大家都一样，你也逃不了
1,是这样的，哪里都有好人坏人，各省份坏人所占比例也都差不多。但是河南人口基数太大了，导致坏人数量太多了，正所谓好事不出门，坏事传千里！所以说河南只是人口基数大，而不是坏人比例大！好坏定义很模糊的，以上回答坏人没有别的意思，特指素质道德不高的人！
1,哇，这个男的好恶心
1,说的没错啊，已经尽量避免过度解读了，假如黑人继续把贩毒吸毒抢劫当成英雄挂在墙上，
1,"河南人到底怎么大家了？说骗子吧骗子哪里都有,说素质不好吧,我看到的大部分还是淳朴,偶尔有爱占小便宜的,因为农村人多所以没办法,但是大家都没有坏心,你来河南有很多人热心给你指路,热心有爱心的人很多,河南也一直在变好,所以到底怎么大家了？"
1,需要借助女拳砸烂舔狗的狗头。
1,内个跟nigger的发音很像，如果你当着黑人的面说内个的话他们还以为你在骂他。nigger等于一种种族歧视，nigger是一种骂黑人的说法，差不多是黑鬼的意思
1,贤惠归根结底还是为他人服务。
1,因为TA们只有在中文圈里才有这么一点力量罢了（靠恶心自己人拿来的） 真到印度网站发英文观点，印度人鸟他们吗？[捂脸]
1,那些男女对立话题制造者，可不是傻逼，他为什么要男女对立，
1,"占美国人口13%的黑人的犯罪率可以查到。,重罪案件比例也是可查的。,一件重罪，往往意味着这种行为伴生轻度违法犯罪一大堆。,对于黑人族群来说，基本上等于证明了从统计上，绝大多数黑人，有恶行犯罪行为或无数轻度的违法犯罪行为。"
1,就因为暴力犯罪男的多，所以男的都是垃圾.
1,印度人较大陆人在美国被认可更好就业更好发展的原因是:非我族类，其心必异。印度人浮夸作弊爱表现，中国人更认真更敬业老美不知道么，当然知道，老美怕再出线钱学森钱三强。
1,人家找的好歹是个川粉，又不是白左，友军别被误导了。黑人不就该仇视么？散了散了
