text,hate_score
赢了又怎么样，改变的不会是她抄袭的本质，话说全网都知道你抄袭，这么多次一举浪费钱，大家也只会觉得你不要脸。话说当年她自己承认的抄袭，并且还做出来侮辱原作者的行为。人品堪忧，居然选四川地震这天洗白，亏你还是四川人，要脸不,50.0
一直说只需要普通话就够了，普通话花好桃好的。可是能不能请在我们普通话说不好，推广不好的前提下再来打压上海话？现在的状况就是上海几乎是非官话地区普通话的NO1，就这样了还是继续打击，彻底无语。,50.0
过度？这几天美国各州动乱刚刚消停点，我说错了吗？我们领导的儿子声称定居美国永不回境的一傲娇公子。上个月都回来躲灾来了，他亲口说俄勒冈州社工借喷撒阻燃剂的由头偷窃抢劫华人，只不过当地中国记者都被驱逐了，没爆出来。,50.0
"只要不是黑人，在NBA多多少少都会被歧视，比如这赛季几乎打出全明星级别表现的东契奇一样被球队的黑人帮孤立，只不过人家上面有人，这不噼里啪啦首发全送走，库班这就是摆明了077就是我小牛未来的老大，谁敢歧视欺负他，""",50.0
你的观点漏洞太多，中国人还是非常严重的种族歧视的，尤其是对黑人，并且当白人歧视我们时，又骂他们没素质，自己歧视黑人时，却又竟然觉得很正常，中国之所以没有任何明显的种族歧视行为发生，是因为国际化不够，黑人印度人南亚人还不够多，,50.0
我第一反应就是企业和员工的矛盾更加突出了。女性职场受歧视将更加严重，导致只能回归家庭或者创业。如果回归家庭，那么势必会被家庭矮化（尤其是来自公婆、老公的看法），你得生孩子。那么，如何破解这种困境呢？,30.0
凭什么劳勃可以天天换，我瑟曦姐弟情深都不行？提问的什么居心，现在女权社会，居然如此抨击女性，看来国外也倡导男尊女卑，我再也不喜欢外国男性了。姐妹们我们应该抵制权游。@中国女权协会 @田园女权癌 【狗头】,60.0
闯红灯类比不恰当，爱因斯坦当年就是种族歧视，这是比闯红灯大的多的错误，没得洗。答主论证的是部分中国人种族歧视黑人，这也对，但这不能成为你反驳回答爱因斯坦歧视的论点，只能反映部分中国人种族歧视且双标,50.0
我老早就说，黑人并不反对种族歧视，他们只是反对自己被歧视，他们敢赤裸裸地歧视亚裔尤其是华裔，在歧视亚裔尤其是华裔上，白人和黑人惊人地一致，所以大可不必为美国黑人的遭遇打抱不平。而当他们来到中国后，更进一步加剧了他们的傲慢，老实说，,80.0
本能反应呀，接过几次诈骗电话，都是台湾腔。而且外面遇到的台湾相处久了感觉真不咋滴。表面上谦谦君子，背后两面三刀色情小气。后来我才知道像地沟油，假币，这些都是从那个地方污染过来的，越发没有好感。,50.0
批里批里评论区国人看事华裔亚裔被歧视：他们是美国人，关我们什么事。黑人被歧视：黑人兄弟好可怜啊！该死的白皮真是罪该万死！大家应该联合起来声援黑人兄弟！什么？你说被歧视的黑人兄弟也是美国人被歧视不关我们的事，,50.0
主要是无产阶级被美国的身份政治分割成不同的群体，黑人追求的只是黑人的正义，却无法分清敌友联合其他群体，并且有很多人还趁火打劫，欺负其他弱势群体，让无产阶级内部进一步分化，因此，他们的暴乱只是群体的暴乱，不是阶级的革命，是注定会失败的。,50.0
美国警察或许是暴力执法，但是美国人愤怒的是他们被媒体蒙蔽双眼当枪使了，懂吗各位。大选在即，为了拉票什么都做得出来。没这事怎么提现政客的nb？还愁kpi和怎么拉票呢，这事一出立马标上了种族歧视的大旗，疯狂拉黑人票，打同情牌。,60.0
enmmmm，可是你知道吗，在国外都是白人黑人歧视黄种人……你觉得这一现象是值得被鼓励的？歧视这本来就不应该存在，我们去歧视他们，只能更加重这个有害社会健康的东西，明明就不应该存在歧视这种现象，听你说话真有够恶心了,50.0
之前看《辛普森美国制造》，里面提到了引发洛杉矶黑人暴动的罗德尼金案，兴趣使然查了下资料，懒得打字了，把当时留在豆瓣上的影评截图感兴趣的朋友可以搜搜，同时也希望这个自媒体时代，大家还是要坚守良知，道德的底线轻易碰不得。,30.0
这也没办法，黑人大多都是单亲家庭，出身不好，要不是亲戚帮着，可能都没机会打nba，早就死于街头枪战，或者被毒品击倒了。现在你有钱了，就划清界限吗？你的根在社区，而且有钱之后的朋友也会骗你的钱,60.0
你这逻辑和现在美国一样，黑人体内内啡肽+新冠+心脏病，所以会跪一下就死。你当学位授予制度是报纸上小广告? 国家学位办和国家学位委员会是国务院组成部门，教育部都只是国务院部署机构。中国把这件事看的非常认真。,30.0
