text,hate_score
2016年有个河北客户，签过合同后说你们河南人骗子太多了。 我冷静的说：那你找山东供应商吧，价格便宜也不骗你。我果断的退款和违约金。反正后来他求了我几天给我道歉让我发货。我只想说，生意上我绝没任何坑蒙拐骗，说敢地域歧视，我不稀罕你俩钱。,50.0
感觉美国种族问题已经钻牛角尖了任何人在任何地点在任何语境提到黑人，都可以被解读为种族歧视黑人是不能提的，但你不提，黑人又觉得你不提出尊重我，那肯定是歧视我说到头，还是黑人默认自己被所有人歧视而已躺在道德的马里亚纳还是有好处的，至少上街打砸抢谁也不能说什么,75.0
深感同意，黑人不是反对种族歧视，他们只是反对自己被歧视，假如在美国受到歧视的是其他人，他们并不会搞什么游行示威，也不会去和政府对抗，只会在旁边安安静静的看戏。只有经历过被歧视的人才不会对其他人抱有歧视的态度，,60.0
可以承认黑人在运动、摇滚上有天赋，但是就不能承认黑人的诸多负面特性(群体性质的特性，当然也存在一些高素质的黑人)？美国搞不能种族歧视的政治正确是因为欧美把黑人当奴隶，欠黑人的，当时为了打赢南北战争，被迫承认黑人自由身份。,60.0
我觉得这是一些台湾人的通病吧，夜郎自大，国家又各种照顾，还有所谓的民猪子由？台湾人是很典型的中国人，是属于眼界比较宅，很势利的那种。说穿了他的优越感是内心很自卑的表现。不知道你看过河殇没有，里面其实讲的是台湾人。,75.0
Y老师邪论多了去了，但是这篇说实话有点道理的啊，不明白一群女的在这喷个什么劲？han这个称呼可真不是什么好听的话，max演员也确实是犹太人。[思考]动动脑子，全剧各人种都有，非要选个又矮又丑的性无能代表亚裔，还不明显吗？,80.0
曾经在中国某些大城市居民因为自己是河南人被歧视，后来不经意透露自己是名校时对方立刻吃惊赞叹。一个西班牙同学告诉我他在英国被歧视，当英国人知道他是工程师时马上客气起来了。歧视别人的人往往是势利眼。,30.0
所谓口音，你以为印度人就差？那是习惯了，他们学起美音，英音，哪怕是俄罗斯口音跟玩是的。就像影视产业的语音专家，几天就能把一个演员的口音培训成另一种口音，本来就不是什么值得研究的东西，有什么值得深入投入的。,30.0
人口过多拖累基础教育普及，大量低素质人口的国家自行参考印度埃及。经济发展从何谈起。更别谈移民欧美。欧美的政治和联合国一样，经济实力决定社会地位，如果没有中国现在的实力。在美华人和黑人无异，谁管你被凶杀谁管你被抢劫。,80.0
现在这次感觉就像当年的洛杉矶黑人暴动一样，因为疫情影响，造成经济下行，失业率增高，结合一直以来的种族问题，然后借由一个事件开始进行社会情绪的发泄。比黑豹党那时候差远了。只不过如果 一直还是这样，,30.0
得了，就别扣帽子了。看你一脸红卫兵样。被人当猴耍了还沾沾自喜呢。神仙打架。他袁立也不过是棋子罢了。还真当演出一副正义呢。饭圈的恶心也是见识到了。颠倒黑白果然名不虚传。我说的不是浙江卫视。就是袁大头。,60.0
苏南人确实有那么一部分坐井观天自以为是，那种总以为自己苏锡常比南京好的论调实在是low的不行，以为有几个钱就是贵族了？弄自己的小圈子，说什么镇江南京是苏北？要点脸行吗？这就是你们苏锡常人的格局？搞地域歧视来凸显自己？真差劲！,80.0
锁着之后怎么开的门？报警的时候故意突出黑人蠢笨紧急情况话都说不清（我觉得就是故意突出，比竟黑人智商世界皆知），还把黑人报复那一段搞得阴险小人一样的场景，我觉得导演就在加剧歧视。估计黑人和白人看完后只会更恨彼此,80.0
妈的 过了一晚想起来昨天看的这个回答还是愤愤不平 看其他回答我都没有这么震撼 因为只有这里我看到了反抗 但结局也最为悲壮 村乡劣民还用十八世纪的思维做黑暗之事 而现代人却要受现代法律束缚 中国就应该引进大量非洲黑人进入乡村 让他们互相交流学习一下,50.0
人肉当然是不对的，但你骂人前必须得考虑后果不是吗？你敢在美国说黑人好吃懒做基因劣等吗？你当然会被人打，甚至会被打死。你当然不该因一句话被打伤打死，打你的人也当然犯法，但你只会被路人说活该，不论你说的是不是事实。,60.0
