text,hate_score
你打完了，打赢了，你被拘留，罚钱！打输了，你也被拘留，罚钱！然后你上不了班，老板听说你打架斗殴导致没来上班，旷工？也罚你钱，严重点的，觉得你影响不好，直接让你自离!黑人呢？p事没有！然后不了了之！,80.0
那为什么美国日本也重男轻女却没有男女比例失衡的结果呢？本质还是在于国人爱钻空子，监控不严，法治建设不全。就算中国注重男女平等，中国女人就不崇洋媚外了？现在这个世界上还有比中国男人对自己国家的女人那么宠的吗？,50.0
这么说的话，看看每年盗窃诈骗多少河南人，被黑不是无缘无故的空穴来风，工厂不要河南人难道是他们想给自己找麻烦嘛？还不是被河盖们偷怕了，为啥人家没不要山东人？没不要湖北人？没不要四川人？单单不要你河南人？光说别人地域黑难道都不从自己身上找找原因么？,50.0
学生跳楼，广州黑人强奸、贩毒无恶不作，不处理，白色洋垃圾遍地，玩中国MM，巴基斯坦留学生在已婚生子情况下玩弄几十个中国MM，满中国白人广告，外国人超国民待遇，还有外国人随便上北大清华，而我们只能拼死独木桥～中国病矣,80.0
看过苏联纪录片《普通的纳粹》再来说苏联黑人水平不行，跟苏联黑出脑浆的嘲讽比起来，美国那些才是小儿科啊。区别就好比骂人不带脏字和“三字经”句句不离口的差别。当然有的人会认为骂“三字经”比较有水平。那也没办法，文化差异嘛。,50.0
我就算你抽样也可以，你看到数据了么？没看到数据你怎么就敢说是“事实”？你所谓的“事实”是自己愿意相信的“事实”，还是真实数据支持的“事实”？摸摸自己良心再说话行不行？这就跟地图炮说什么河南人偷井盖，广东人什么都吃，黑人智商低，在你们眼里都是tmd“事实”,75.0
处女膜是叫你保守贞洁，不要沾花惹草懂吗？总他吗女权女权，动不动就是女权女权，借着女权的名义沾花惹草，恶心吗你？这是没有处男膜，真要是有处男膜，你男人天天在外面搞来搞去，不守贞洁，你受得了吗？,75.0
不说别的，我青岛朋友，算山东大城市吧？本科学历，外企中层工作，条件不算低了吧？她自己不想生孩子 但是为了生儿子流产一次，手术三次目前还在医院准备第四次手术，你觉得这不叫歧视？有生育能力没有生育权，你觉得这叫平等吗？山东人逼着女人生儿子的执念究竟为什么？,50.0
你把美国人民想得太好，把中国人民想得太坏。哪些领低保飞叶子的黑人重来没有生计之忧，一个个拽的要死生死看淡不服就射。不光警察射他们。他们还有帮派火并。中国人民之所以这么敏感，是因为除了个别警察，,50.0
多沟通还要你干什么？只用沟通有用还要法律法庭法官监狱枪支干什么？楼上大姐怎么不去和楼下沟通？你见了大姐就高兴见了大哥就背地里面骂人家？你是来黑人民警察的吧？告诉大家你的警号，让群众监督你看看你是不是人民警察！,80.0
黑人历史上受到的欺凌与压迫，现在看来是正确的。因为历史上的黑人犯罪率并不高，而且也是生产者，也为社会作了贡献。所谓的压迫，是黑人分得蛋糕少于创造的蛋糕，但至少是创造蛋糕了。哪象现在，黑人解放了，黑人抢蛋糕还砸锅。,80.0
搞和平运动的马丁·路德·金被白人杀死是在1968年，一些老留学生回忆80年代到美国内陆地区对黑人的歧视还是公开化的。也就是说美国法律化制度化的歧视黑人才在几十年前废除，许多白人老人年时就是种族歧视的加害者，,75.0
我感觉的风向，是大部分人说黑人白人渣滓来到这，并非感觉高人一等，只是感觉别祸害我的国家，逃犯外教，黑人提裤子就跑，传播艾滋病，你哪看出的？是有歧视，但我们歧视的他们的人格，不配为人，辱骂中国，老子凭什么不鄙视你？,100.0
总是黑人家不就是一种变相的歧视吗，种族歧视，性向歧视就歧视呗，毕老爷还…本身就是言论自由的社会，同性恋还歧视异性恋呢，黄种人还歧视白人脑残呢，说的像是自己受了多大的不公正待遇一样，自己有多高清一样~,60.0
福建人表示。。宗族势力还是有点影响的。我生活周边就有个村，因为隔壁村花灯能不能到她村游行的事情，年年元宵节打架，死人不至于，每年都有人受伤，道路两边的田里好不壮观哈哈哈哈(ಡωಡ)两个村就是两个姓，平时朋友到这时候也会打。。,50.0
一个个评论里说话的真是站着说话不腰疼，天天的就知道美国警察多嚣张多歧视黑人，站着说话不腰疼。你要想一想在一个合法持枪国家里进行执法是一件多么危险的事情！！！！而进行反击做出危险行为的，很大部分是黑人！！！,50.0
我大学也总听河南人偷井盖不好之类的话，后来发现河南同学人都挺实在的，反而有一个河南的朋友，但是一直没见过福建人，知道后来上班碰到莆田人，没一句是真话，各种试探满嘴假话，我是真的信了莆田没真货,50.0
去了济南上学，才发现电视里的歧视女性的程度并不是艺术加工，一个宿舍六个人里两个是山东的，每天（每天每天每天）必讨论的就是今天又在哪哪哪看到哪个女生，这长得怎么样那长得怎么样。。。总之怎么恶心怎么来。。。,50.0
反对，现在他就是黑命贵的意思。要不自己去黑人社区说alm试试？你看挨不挨打。就像有些女权搞特权一样，你们就说那是少数，你们大多数是理客中的要平权，可是别人怎么分辨。你们作为一个群体，自己内部不肃清，那就不要顶着黑人这个整体，,75.0
