text,hate_score
你这就是嫉妒出国的中国人罢了，实际上真的出国就知道，美国的华裔和中国人根本就是两个不同的民族。华裔美国人胆小怕事，不敢吱声，跪舔白人，另一方面又看不起中国人。中国人性格不太一样，基本上从来不跟华裔美国人有来往，,80.0
楼主我想说我遇到一个hr，恶心的要死，山东人，她北京工作，每次说话都极力模仿北京话，那语调恶心的不行，脾气爆的很，简直就是人丑多作怪。还有一家公司的hr和老公离婚了，把脾气全发在了面试者身上，简直奇葩。从此对女hr敬而远之。倒是大公司的hr都不错,50.0
正栩一个涉嫌合同欺诈的公司你为了黑人居然给这种公司站街洗地，该公司用欺诈手段欺骗大道公司和张艺兴签订了相关合同，后被发现欺诈后已经解除合同，200万是极限挑战合作方出品方大道公司付给张艺兴的极限挑战劳务尾款，大道公司早就出来发声明的东西都被你拿出来造谣,50.0
非篮球球迷。说下观点：这个黑人明显故意打的这个中国人。投球时胳膊上举，然后回落时胳膊明显是肌肉再次绷紧。。，这就是故意的了。估计这个外国人脾气很臭，又看不起中国人，一种就是打你，怎么滴的想法。,80.0
黑豹的评分低是因为中国人歧视黑人吗？难道不是电影本身的质量也就那样。在美国靠着政治正确的大旗收获无数好评，中国为什么要买这个账？同样的流浪地球对于中国人来说有情怀加分，国外民众为什么要给情怀买单？这部片子真的成神作了？,30.0
我怀疑我呆的是假山东。。。“ 基本出了杀人放火打家劫舍吸毒贩毒以外都不怎么管 ”，我大山东人民不是最爱打12345吗？不管啥事打个12345，立马有人解决。下次再有警察不管，你打12345试试,50.0
我想起知乎上看的那个段子，老买买提带小买买提卖切糕，老对小说看老子怎么做生意，结果来了俩河南人买切糕，硬黑了100多块，然后跟小买买提炫耀，看到没，就得这么做生意，结果一回头，小买买提没了,50.0
广州。。难怪了。。我前面掉进去传销。也是一个人打10多个（江西人（里面的广东人更弱））。你们那的人，偏瘦，偏矮（只针对我见过的，知乎大佬个个180），打架喜欢你推我，我推你，你们那治安严，我们这以前治安基本没有(&gt;﹏&lt;),50.0
我觉得亚裔细分法案是对华人的尊重，毕竟我们华人不能和东南亚太平洋岛屿上那些不穿衣服的土著划为同一民族，我不愿做菲律宾人，我不愿做日本人，我不愿做越南人，我更不愿做韩国人，我觉得只有细分，才是对我华人的尊重，不细分是在极大地侮辱华人，,50.0
内容违规会影响你的知乎盐值，本来被删了，再发出来，回给就业歧视的男女性说的话。不可能的，忽略个体差异一味追求的政治正确就是上了老外的当，育儿师只能是女性，下矿工只能是男性，护士女性为主，军警男性为主。,50.0
河南招黑有多少人是自己的亲身经历还是仅仅人云亦云？即便是有个别做坏事，那么整个河南人就要全民挨怼？无端端的挨骂，还要挨骂者大度？你先把自己的逻辑搞清楚在出来说话吧，地域黑果然都是社会底层，没什么脑子。,50.0
黑人这次会被清算的，美国肯定会出台法案，关于非法用工偷渡法案，这次抢劫不会得到支持的，流浪汉中白人只知道流浪，黑人流浪汉就是抢劫，美国也害怕美国被黑人化，因为欧洲已经变成例子，美国还让他们闹一会，闹大了好出台法案驱逐黑人亚裔,80.0
