text,hate_score
真不自信。天天别人歧视歧视的挂在嘴边。我甚至认为这就是公知在分裂中国不能后的另一种洗脑。天天说你们被歧视，你们黄种人被歧视。让国民自己定位为被歧视地位。永远洗脑中国人只能努力争取平等的下等地位，而不是领导统治的地位。,50.0
然而微博评论底下并没有多少地域黑啊… 倒是很多河南的人抱团过来说我们河南怎么怎么样，那既然是这样，当然只有重点针对本地人来说咯，难道要对着全国的人吼？ 再说胡辣汤…… 不好意思，可能除了河南人，其他地方的人还真不知道,50.0
我当然会尽力去行使，做事问心无愧就好，说起诉教育部偏激就好像白人跟黑人说，我们都不把你们当奴隶买卖了你们还想怎样？通婚？选举权？你们也太偏激了吧！历史就是这样“偏激”的人铸就的，反抗错误和歧视来说，现在还不存在什么偏激和矫枉过正。,75.0
你无厘头啊 我寄望大洋彼岸的黑人兄弟坐二望一有你蛋事？ 多么美好的祝福啊 夸詹姆斯是口嗨？ 还有你说你骂人了？ 我只看见你在维护詹姆斯啊！ 说维护詹姆斯就是骂人或者口嗨？ 你这么黑詹 过了吧,60.0
我没想他进监狱啊，就是恶心他老是自诩上海人搞地域歧视，总是说别人小瘪三，说别人老土，装什么上等人。至于离婚，打岳父，傍富婆，这都是私德方面，说出来让不知道的人自己斟酌咯。讨厌一个人，所以他犯了法觉得罪有应得呀～,50.0
"不好意思，你攻击别人的时候请看清别人的立场。我是女性，也是丁克，我是在招聘的时候受到各种性别歧视的人。但是我不认为我受到性别歧视的问题在于其他生了孩子的女性，女性在这个世界上本来就很不容易，""",50.0
的确不公正，那个人算是偷窃，罪不至死 我个人觉得自卫那条线判定的对受害者十分不利，但也不能这样找个借口背后就爆别人头 但黑人的报复实在太恐怖了，不得不说后续发展的残酷性完全掩盖了之前的导火索……,50.0
黑人在美国刷盘子，在俄罗斯出门就被打，来到中国竟然成了大爷，真是他妈的中国人垃圾，因为我们都是听话的好孩子，所以黑鬼都能来中国作威作福。参照中国国情，黑人更应该去矿山，危险化学品场，建筑工地等地方，而不是中国的大学,80.0
真是自以为是？打脸不？刚开始的回答跟最后的？自己啥都不知道就黑人家？九鼎说没说注册给钱？黑色幽默？拿钱跑没跑？最后竟然还贴出人家的公告，想不到你的脸皮跟心态是多么的。。。。骗子传销？你是水军吗*^o^*,50.0
这个东西大多数都是当地人出去作风给人留下的印象造成的，虽说不能一棒子打死所有的，但是相对与其他的地方还是多的，我工作遇到的河南人都不咋滴..偷东西的，使坏的，吃里扒外的...我虽然是东北的，但我也觉得某些人的行为非常愚蠢，还是有问题不然说这个干嘛.,50.0
本来想说说河南人为什么在我们当地名声很坏，但打了好多又删掉了。 只想说，实在不是要黑河南人，但在外地的大部分河南人都太坏了，而且直到今天，我们当地的犯罪率居榜首的仍是河南籍。所以，不是要黑，而是有时候除了河南人，再没办法区分他们了。,50.0
其实澳大利亚强奸这个问题是存在的，而且也不小。其中很大一部分比例是原住民实施的。而且你也知道除了几个首府以外，人口很少，所以警力和执法上差距比较大。亚裔比较温和也不敢反抗事后又不发声，而且大概率还有钱，所以当然是好的施暴目标了。,75.0
四川球迷是傻逼吗？在自己家门口出斗殴这种事情还来地域嘲讽？请您去看cba官方微博关于这次总决赛的微博评论都是什么？说四川球迷素质低的那就素质低了嘛，但是拿地震地域来说事您觉得好吗？如果您去看了之后不脸红，那么可以回复我，脸摆在这您尽管打,50.0
